ENV,GEN,BLUP
1,1,0.313
1,2,0.4566
1,3,0.1622
1,4,0.5393
1,5,0.2969
1,6,0.1506
1,7,0.0525
1,8,0.2386
1,9,-0.0571
1,10,0.03
1,11,-0.0234
1,12,-0.2771
1,13,-0.2555
1,14,-0.1901
1,15,0.1551
1,16,-0.2372
1,17,-0.1482
1,18,-0.2356
1,19,-0.0567
1,20,-0.2419
1,21,-0.003
1,22,-0.0631
1,23,0.5538
1,24,-0.2079
1,25,0.1543
1,26,-0.29
1,27,-0.2124
1,28,0.0574
1,29,0.0101
1,30,0.0789
1,31,0.2434
1,32,0.3242
1,33,0.2511
1,34,0.3232
1,35,0.3023
1,36,0.3256
1,37,0.1941
1,38,0.2475
1,39,0.2602
1,40,0.2989
1,41,0.2739
1,42,0
1,43,0.1855
1,44,0.3189
1,45,0.339
1,46,0.2926
1,47,0.2262
1,48,0.2706
1,49,0.2122
1,50,0.1779
1,51,0.2494
1,52,0.2591
1,53,0.2648
1,54,0.2366
1,55,0.2273
1,56,0.1853
1,57,0.3047
1,58,0.1838
1,59,0.1769
1,60,0.214
1,61,0.3401
1,62,0.2453
1,63,0.2324
1,64,0
1,65,0.2444
1,66,0.2544
1,67,0.2542
1,68,0.1902
1,69,0.2007
1,70,0.1678
1,71,0.255
1,72,0.2069
1,73,0.247
1,74,0.2537
1,75,0.3038
1,76,0.2626
1,77,0
1,78,0.3297
1,79,0.2253
1,80,0.288
1,81,0.2087
1,82,0.2259
1,83,0.2218
1,84,0.2208
1,85,0
1,86,0.3556
1,87,0.3386
1,88,0.1883
1,89,0.2213
1,90,0.1743
1,91,0.2831
1,92,0.232
1,93,0.2547
1,94,0.2546
1,95,0
1,96,0.2065
1,97,0.262
1,98,0.2188
1,99,0.3429
1,100,0.2472
2,1,0.1448
2,2,-0.0065
2,3,-0.1873
2,4,0
2,5,0.0337
2,6,0
2,7,0
2,8,0.4107
2,9,0
2,10,0
2,11,-0.1878
2,12,0
2,13,0
2,14,0
2,15,0.0232
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,-0.0024
2,29,0
2,30,0
2,31,-0.3266
2,32,0.2866
2,33,0.0012
2,34,0.105
2,35,-0.0015
2,36,0.1259
2,37,-0.1875
2,38,-0.1636
2,39,0.0008
2,40,-0.0091
2,41,-0.0105
2,42,-0.0977
2,43,0.2288
2,44,0.0651
2,45,0.0728
2,46,0.114
2,47,-0.0049
2,48,0.313
2,49,0.0502
2,50,0.3003
2,51,-0.0744
2,52,-0.0014
2,53,0.0447
2,54,-0.2486
2,55,-0.0483
2,56,-0.0289
2,57,0.0123
2,58,-0.0153
2,59,-0.0335
2,60,-0.0151
2,61,0.0171
2,62,-0.0082
2,63,-0.0362
2,64,0
2,65,0.0344
2,66,0.0769
2,67,0.0263
2,68,0.1419
2,69,0.0743
2,70,0.1353
2,71,0.1067
2,72,-0.138
2,73,0.045
2,74,-0.0707
2,75,0.0072
2,76,-0.0435
2,77,0
2,78,0.0196
2,79,-0.0494
2,80,-0.0049
2,81,-0.1065
2,82,-0.0588
2,83,-0.0365
2,84,-0.0336
2,85,0
2,86,-0.0106
2,87,0.1254
2,88,-0.0092
2,89,-0.0211
2,90,-0.0631
2,91,-0.1202
2,92,-0.0387
2,93,0.0332
2,94,0.0253
2,95,0
2,96,-0.0573
2,97,0.0631
2,98,-0.0303
2,99,-0.0036
2,100,0.0412
3,1,0.1629
3,2,0.0098
3,3,0
3,4,0
