GEN,XFA1,XFA2
1,0.788,-1.46E-02
2,3.70E-02,-0.6843
3,-0.5847,-0.4836
4,0.7211,-1.096
5,-0.2766,-0.1976
6,0.2108,-0.2862
7,5.19E-02,-7.05E-02
8,1.1,0.4879
9,-0.1254,0.1703
10,1.56E-02,-2.12E-02
11,-0.6525,-0.3126
12,-0.4815,0.6538
13,-0.4465,0.6063
14,-0.3405,0.4623
15,0.1525,-0.3423
16,-0.417,0.5662
17,-0.273,0.3706
18,-0.4144,0.5627
19,-0.1247,0.1694
20,-0.4246,0.5765
21,-3.80E-02,5.15E-02
22,-0.1352,0.1836
23,0.8634,-1.172
24,-0.3696,0.5018
25,0.2166,-0.2942
26,-0.5024,0.6822
27,-0.3769,0.5117
28,-0.2507,0.4983
29,-1.66E-02,2.26E-02
30,9.46E-02,-0.1285
31,-0.4128,-1.158
32,0.8685,0.2252
33,-0.263,0.2646
34,-0.1988,0.2903
35,-8.67E-02,-0.3109
36,0.1597,0.101
37,-0.3162,-0.8889
38,-0.6965,-0.2672
39,-7.53E-02,-0.2428
40,-0.3896,2.36E-02
41,0.1622,-0.3166
42,-0.3629,-0.2466
43,0.2942,0.3132
44,0.2568,-0.1574
45,0.3911,-0.3025
46,0.1088,0.2842
47,1.30E-02,-0.2202
48,0.5499,0.7197
49,0.2751,-0.4245
50,0.5331,0.3498
51,-0.8099,2.34E-02
52,-0.3369,-1.93E-02
53,-0.1132,-0.217
54,-0.4301,-0.9475
55,0.8258,-1.021
56,-7.60E-02,-0.4653
57,-2.98E-03,-0.412
58,-0.2147,-0.4816
59,-0.1219,-0.4463
60,3.61E-02,-0.8583
61,-0.2029,-0.3818
62,0.1287,-0.3141
63,0.9741,-1.062
64,-0.1566,4.67E-02
65,-0.2702,0.4077
66,-3.21E-02,0.4975
67,-0.8688,-0.1963
68,0.1601,0.2394
69,-0.1636,0.1801
70,0.4365,0.1087
71,-0.587,-3.22E-02
72,-0.7325,-0.484
73,-6.09E-02,0.4044
74,-0.4531,-0.9215
75,0.1253,-0.2984
76,-0.8105,-3.06E-02
77,-0.4739,0.1414
78,-0.6545,5.91E-02
79,0.7741,-0.8521
80,0.2087,-0.8947
81,0.6171,-0.9929
82,0.5965,-0.8002
83,0.8939,-1.2
84,0.1731,-0.901
85,0.8854,-0.4473
86,0.4838,-0.7956
87,0.2124,0.3075
88,-0.1237,-0.6481
89,0.2209,-0.1806
90,-0.5212,-3.85E-02
91,-7.67E-02,-0.9306
92,0.794,-1.779
93,0.1897,0.2521
94,-3.98E-03,0.4113
95,0.4909,-2.65E-02
96,0.3995,-0.4245
97,-0.274,-0.2025
98,-0.807,0.2552
99,-0.6098,-0.2911
100,1.73E-02,-4.25E-02
101,0.1221,0.2242
102,-0.1438,-0.1912
103,-0.1783,-0.2939
104,0.4546,3.63E-03
105,-0.5809,9.60E-03
106,4.45E-04,-0.2455
107,-0.1249,-0.9387
108,-0.8478,-9.08E-02
109,0.2277,-0.4812
110,-0.2926,0.1185
111,8.88E-02,-0.2989
112,-7.46E-02,3.02E-02
113,0.3557,-0.3483
114,0.3397,-0.3327
115,0.6782,-0.6641
116,-0.4053,0.3969
117,-0.2413,0.2363
118,0.608,-0.7731
119,-0.186,-0.1536
120,0.1484,-0.1453
121,1.065,-1.043
122,0.9261,-1.074
123,7.42E-02,0.2342
124,-8.26E-02,8.09E-02
125,-6.99E-02,6.85E-02
126,0.6821,-0.6679
127,0.2465,-0.2414
128,-0.3741,0.3663
129,-0.7963,0.7798
130,-1.058,1.036
131,-0.4365,0.4274
132,0.4182,-0.4095
133,0.4822,-0.4722
134,-0.2172,-0.241
135,0.3321,-0.3252
136,-0.9745,-0.265
137,0.6274,-1.102
138,-0.1041,-0.4481
139,-0.6898,-0.5293
140,4.65E-03,-0.4537
141,0.6305,0.5081
142,0.5807,-0.5467
143,-0.2446,-0.6097
144,-0.1074,-3.82E-03
145,0.7807,-1.027
146,0.5702,-1.206
147,1.025,-1.061
148,0.7368,-1.213
149,0.2114,-0.8493
150,-0.9344,0.2645
151,8.67E-02,-0.6996
152,-4.84E-02,-0.7159
153,0.9963,-0.683
154,0.7384,-0.6708
155,0.3327,-0.5045
156,-1.038,-9.18E-02
157,0.4154,-0.6318
158,-0.1871,2.60E-03
159,1.239,-0.1329
160,0.1663,-0.2742
161,1.031,-0.1692
162,-9.22E-03,-0.6982
163,0.4042,0.3148
164,0.3092,-0.6218
165,0.6153,-0.6188
166,-9.47E-02,1.80E-02
167,-0.471,0.3519
168,-9.07E-02,-0.3234
169,7.65E-02,-0.5977
170,0.5456,-0.7754
171,-0.7662,-0.8778
172,1.181,-0.184
173,0.8121,-0.6704
174,1.202,-0.4261
175,-3.66E-02,-0.5516
176,0.164,-0.3108
177,-0.7808,8.82E-02
178,1.066,-2.55E-02
179,0.2497,-0.7163
180,0.3911,-0.4498
181,0.4322,-0.3802
182,-0.3007,-0.1419
183,-0.4357,0.2414
184,0.939,-0.4984
185,0.6253,-0.1987
186,0.4671,0.5724
187,0.207,-0.6267
188,-7.73E-02,-0.3289
189,8.88E-02,-0.4312
190,0.5187,-0.999
191,-0.4547,-1.268
192,0.5294,-0.4921
193,0.4545,-0.6208
194,0.2483,-0.341
195,0.8626,-0.4683
196,0.2693,-0.3785
197,0.6575,-0.5267
198,-0.5011,0.2955
199,0.3142,-0.2064
